Algorithm | Seconds | Milliseconds | Nanoseconds | Path | Cost
BruteForce | 0,027701 | 27,701300 | 27701300,000000 | 0,7,8,1,5,2,4,6,3 | 730
BruteForce | 0,033292 | 33,292400 | 33292400,000000 | 0,2,8,4,3,7,5,1,6 | 831
BruteForce | 0,031071 | 31,070600 | 31070600,000000 | 0,6,3,8,7,4,5,1,2 | 688
BruteForce | 0,030120 | 30,120300 | 30120300,000000 | 0,3,4,5,7,6,8,2,1 | 835
BruteForce | 0,031416 | 31,416500 | 31416500,000000 | 0,6,7,5,3,8,1,4,2 | 989
BruteForce | 0,031141 | 31,140700 | 31140700,000000 | 0,4,5,3,2,8,7,1,6 | 865
BruteForce | 0,030047 | 30,046800 | 30046800,000000 | 0,5,8,4,1,3,7,2,6 | 874
BruteForce | 0,032709 | 32,708900 | 32708900,000000 | 0,4,1,2,7,6,3,5,8 | 661
BruteForce | 0,028491 | 28,490600 | 28490600,000000 | 0,5,8,2,6,3,1,4,7 | 596
BruteForce | 0,028981 | 28,980800 | 28980800,000000 | 0,7,4,2,5,3,8,1,6 | 833
BruteForce | 0,030920 | 30,919900 | 30919900,000000 | 0,7,1,8,6,2,3,5,4 | 472
BruteForce | 0,028917 | 28,917500 | 28917500,000000 | 0,4,3,1,5,6,7,2,8 | 527
BruteForce | 0,043128 | 43,128000 | 43128000,000000 | 0,4,1,7,8,6,2,5,3 | 966
BruteForce | 0,037854 | 37,854100 | 37854100,000000 | 0,7,4,5,8,2,1,3,6 | 1187
BruteForce | 0,028250 | 28,249500 | 28249500,000000 | 0,4,5,2,8,6,1,3,7 | 605
BruteForce | 0,003803 | 3,803200 | 3803200,000000 | 0,7,4,5,1,2,6,3 | 999
BruteForce | 0,002988 | 2,988500 | 2988500,000000 | 0,4,2,5,1,6,3,7 | 588
BruteForce | 0,002790 | 2,790400 | 2790400,000000 | 0,4,6,7,5,1,3,2 | 893
BruteForce | 0,008077 | 8,077300 | 8077300,000000 | 0,6,7,4,1,3,2,5 | 568
BruteForce | 0,006677 | 6,677100 | 6677100,000000 | 0,4,6,1,5,7,3,2 | 472
BruteForce | 0,002963 | 2,963200 | 2963200,000000 | 0,4,3,7,1,2,6,5 | 772
BruteForce | 0,005080 | 5,079600 | 5079600,000000 | 0,6,7,5,2,4,1,3 | 775
BruteForce | 0,008233 | 8,233000 | 8233000,000000 | 0,4,1,7,3,6,2,5 | 933
BruteForce | 0,009295 | 9,294500 | 9294500,000000 | 0,6,7,5,4,3,2,1 | 1065
BruteForce | 0,007597 | 7,597400 | 7597400,000000 | 0,1,6,4,7,2,3,5 | 672
BruteForce | 0,006163 | 6,163300 | 6163300,000000 | 0,3,5,7,6,1,4,2 | 1022
BruteForce | 0,006881 | 6,881300 | 6881300,000000 | 0,4,7,6,5,1,3,2 | 766
BruteForce | 0,007822 | 7,822200 | 7822200,000000 | 0,5,6,4,1,2,3,7 | 1063
BruteForce | 0,003293 | 3,292700 | 3292700,000000 | 0,1,6,2,7,4,3,5 | 944
BruteForce | 0,006988 | 6,988400 | 6988400,000000 | 0,3,4,5,2,6,1,7 | 789
BruteForce | 0,006598 | 6,597500 | 6597500,000000 | 0,2,6,3,5,7,4,1 | 883
BruteForce | 0,007514 | 7,514200 | 7514200,000000 | 0,5,6,2,1,3,7,4 | 694
BruteForce | 0,003479 | 3,478600 | 3478600,000000 | 0,4,3,1,2,6,5,7 | 882
BruteForce | 0,007195 | 7,194800 | 7194800,000000 | 0,5,7,2,1,3,4,6 | 981
BruteForce | 0,008952 | 8,952400 | 8952400,000000 | 0,7,4,6,5,1,2,3 | 687
BruteForce | 0,003424 | 3,424100 | 3424100,000000 | 0,1,3,4,5,7,2,6 | 804
BruteForce | 0,009901 | 9,900600 | 9900600,000000 | 0,1,7,3,6,4,5,2 | 552
BruteForce | 0,002870 | 2,870100 | 2870100,000000 | 0,6,2,3,1,5,7,4 | 836
BruteForce | 0,004507 | 4,506900 | 4506900,000000 | 0,5,4,1,7,2,3,6 | 756
BruteForce | 0,007155 | 7,154700 | 7154700,000000 | 0,4,1,6,3,2,7,5 | 674
BruteForce | 0,008765 | 8,764900 | 8764900,000000 | 0,4,3,6,5,2,7,1 | 727
BruteForce | 0,003048 | 3,048400 | 3048400,000000 | 0,7,2,3,5,1,6,4 | 1319
BruteForce | 0,006685 | 6,684900 | 6684900,000000 | 0,1,2,4,6,3,5,7 | 621
BruteForce | 0,007153 | 7,152800 | 7152800,000000 | 0,4,5,3,6,2,7,1 | 811
BruteForce | 0,006598 | 6,598400 | 6598400,000000 | 0,1,2,7,4,5,6,3 | 696
BruteForce | 0,006062 | 6,062100 | 6062100,000000 | 0,5,4,3,6,7,2,1 | 777
BruteForce | 0,006712 | 6,712000 | 6712000,000000 | 0,5,3,6,4,7,1,2 | 826
BruteForce | 0,002934 | 2,934000 | 2934000,000000 | 0,2,3,6,5,7,1,4 | 813
BruteForce | 0,006720 | 6,720400 | 6720400,000000 | 0,4,1,3,2,6,7,5 | 624
BruteForce | 0,005314 | 5,314300 | 5314300,000000 | 0,4,3,2,5,1,6,7 | 570
BruteForce | 0,010445 | 10,444800 | 10444800,000000 | 0,6,4,1,2,5,3,7 | 714
BruteForce | 0,004855 | 4,854900 | 4854900,000000 | 0,6,2,4,1,7,5,3 | 672
BruteForce | 0,009725 | 9,725000 | 9725000,000000 | 0,3,5,2,6,1,7,4 | 512
BruteForce | 0,009415 | 9,415200 | 9415200,000000 | 0,6,5,3,2,7,1,4 | 767
BruteForce | 0,005253 | 5,252800 | 5252800,000000 | 0,4,5,6,1,2,7,3 | 1135
BruteForce | 0,006634 | 6,633900 | 6633900,000000 | 0,7,6,5,3,2,4,1 | 609
BruteForce | 0,007056 | 7,055900 | 7055900,000000 | 0,1,6,7,3,4,2,5 | 963
BruteForce | 0,008446 | 8,445800 | 8445800,000000 | 0,2,6,3,7,5,1,4 | 731
BruteForce | 0,005333 | 5,332600 | 5332600,000000 | 0,4,5,3,1,7,2,6 | 487
BruteForce | 0,008935 | 8,935100 | 8935100,000000 | 0,3,1,7,4,5,2,6 | 1190
BruteForce | 0,006998 | 6,997700 | 6997700,000000 | 0,4,2,5,1,6,3,7 | 750
BruteForce | 0,002764 | 2,763600 | 2763600,000000 | 0,3,1,5,6,7,2,4 | 748
BruteForce | 0,006035 | 6,035100 | 6035100,000000 | 0,7,6,4,1,2,5,3 | 1116
BruteForce | 0,008523 | 8,523100 | 8523100,000000 | 0,6,2,1,4,7,5,3 | 540
BruteForce | 0,003890 | 3,889800 | 3889800,000000 | 0,3,7,4,1,5,6,2 | 748
BruteForce | 0,004299 | 4,298900 | 4298900,000000 | 0,6,4,1,7,2,3,5 | 1242
BruteForce | 0,005825 | 5,824700 | 5824700,000000 | 0,5,3,1,6,7,4,2 | 925
BruteForce | 0,004803 | 4,803300 | 4803300,000000 | 0,1,4,2,5,3,6,7 | 599
BruteForce | 0,005960 | 5,960200 | 5960200,000000 | 0,1,2,5,4,6,3,7 | 726
BruteForce | 0,006672 | 6,672100 | 6672100,000000 | 0,2,4,6,1,5,7,3 | 845
BruteForce | 0,006092 | 6,092100 | 6092100,000000 | 0,5,4,6,2,1,3,7 | 351
